id,상위법령ID,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명
P02321,007739,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,김천시 영유아보육 조례
P02242,007739,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,시흥시 보육 조례
P03260,000898,지방교육자치에 관한 법률,26,사무의 위임ㆍ위탁 등,"①교육감은 조례 또는 교육규칙으로 정하는 바에 따라 그 권한에 속하는 사무의 일부를 보조기관, 소속교육기관 또는 하급교육행정기관에 위임할 수 있다",①교육감은 조례,위임자치법규,조례,자치법규,부산광역시교육감 행정권한의 위임ㆍ위탁에 관한 조례
P05159,000851,평생교육법,12,시ㆍ도평생교육협의회,⑤ 시·도협의회의 구성·운영에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,경상남도 평생교육진흥 조례
P01208,014226,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,인천광역시 서해구 학교 밖 청소년 지원 조례
P00671,006544,교육공무원 임용후보자 선정경쟁시험규칙,21,응시수수료,① 시험에 응시하려는 사람은 시ㆍ도의 조례로 정하는 바에 따라 응시수수료를 내야 한다.,조례로,위임자치법규,조례,자치법규,전남광주통합특별시 교육ㆍ학예에 관한 각종 수수료 징수 조례
P05207,000851,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,부산광역시 남구 평생학습 조례
P03678,005061,지방교육행정기관의 행정기구와 정원기준 등에 관한 규정,20,정원의 규정,"② 제13조에 따른 단위기관별 정원은 제1항에 따른 정원의 총수 범위에서 종류별ㆍ직급별로 구분하여 해당 시ㆍ도의 조례로 정한다. 다만, 다음 각 호의 어느 하나에 해당하는 정원은 조례로 그 총수만 정하고 그 범위에서 제13조제2항에 따른 단위기관별로 해당 시ㆍ도의 교육규칙으로 정한다.",구분하여 해당 시.도의 조례로,위임자치법규,조례,자치법규,전남광주통합특별시교육감 소속 지방공무원 정원 조례
P03822,004071,지방자치단체의 교육경비 보조에 관한 규정,4,보조의 신청등,①지방자치단체의 장은 해당 연도 보조사업에 대하여 각급학교의 장에게 보조대상사업 및 그 예산액을 통지하고 보조신청서를 제출하도록 하여야 한다. 이 경우 해당 지방자치단체의 조례로 정하는 바에 따라 관할 교육감 또는 교육장을 거쳐 보조대상사업 및 그 예산액을 통지하거나 보조신청서를 제출하게 할 수 있다.,조례로,위임자치법규,조례,자치법규,예천군 교육경비 보조에 관한 조례
P05265,000851,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,전남광주통합특별시 서구 평생교육진흥 조례
